movie_id,rating
1470329,
1220441,
949581,G
937369,
918427,
257514,
843269,NR
80142,
118410,
248043,
236308,
674683,
214157,
168273,
326146,
323389,
90937,
80860,PG-13
34834,
326904,
31034,NR
70337,
139287,
85802,NR
76721,
100371,NR
265829,
179453,
125510,
87270,
55437,PG-13
55435,PG-13
1166569,
1439741,
1310672,PG-13
1282837,
1094448,
991364,
970522,
959646,
893250,
843267,
218769,
78260,
432128,
42180,
418605,
506643,
141521,
326148,
314102,
166684,
635684,
635686,
648457,
182768,
80405,
181522,
432057,
85799,
120437,
47341,
74617,
211814,NR
222960,NR
144920,
30620,
37049,G
85796,
547912,
58828,NR
51106,PG-13
67583,NR
22503,
72557,G
50716,
1264338,
249424,G
568024,
1214138,PG-13
1211650,
1053075,
1117291,
900497,
507022,
1068607,PG-13
413164,
55566,NR
831775,
132382,
620138,
179883,
470639,
271540,
34577,
84752,
172124,
140974,
150434,
466574,
213706,
172347,
270482,
48101,
103368,
85806,
709071,
351802,
553932,
57869,
51415,
88852,NR
36132,
69131,
390539,
84160,
67128,NR
34102,
34037,
680113,
33176,PG-13
137502,
45932,
431230,NR
1353778,
257473,
1000092,
935017,
872865,
829424,
62455,
790092,
393528,
68364,
256838,
526464,
658562,
500626,
74621,
271948,
71449,
55615,
251385,
372762,
325567,
326238,
552490,
74622,
346026,G
76740,
103672,
110395,PG
88882,NC-17
186969,
85793,
187695,NR
374206,
300773,
475997,
280439,
22809,
648969,
636963,
123950,
46219,PG
146006,
81531,
464038,PG-13
239366,PG-13
276903,
1418665,
1362429,PG-13
1263462,
1143875,
1068602,
994319,
994311,
975030,
849420,
813707,
266566,
164471,
62450,
597419,
83212,
55881,
120422,
571573,
153577,
259169,
749401,
50742,
290062,
39267,
71494,
75175,
193336,
305396,
667347,
390832,
647994,
179985,
117347,
174712,
249246,G
235289,
68892,
109355,NR
68406,NR
268266,
301515,
67841,
246663,
112538,
112545,
63420,
42073,R
178011,
256768,
42076,
222471,
496349,
372765,
641909,
39954,
56362,
102973,NR
923659,
379152,
255510,
48405,PG-13
55880,
334361,
178618,
41421,NR
316301,
579567,
757683,
49734,
100684,PG
412381,
75177,
87636,
305404,
63422,
245010,
415288,
53997,
39690,
172418,
60705,R
284755,
132318,
334724,
87958,NR
120115,PG
38564,
77194,
357413,
75915,
91515,
310576,
551589,
579562,
579564,
76427,
33469,
85792,
479248,
198411,
212471,
659896,
45392,
266121,
112157,
48279,R
1185781,
71914,
1126000,
1110680,
621244,
968993,
48509,
900002,
399371,
442253,
445953,
843248,
432058,
131378,
132515,
540700,
179998,
383527,
60777,
64703,NR
111608,
326924,
287098,
88879,NR
134053,
284235,
171942,
67788,
64701,NR
366640,
134828,
178335,PG
51096,
215000,
395337,
59719,PG-13
233715,
737520,NR
308810,
9984,NR
411931,
66991,NR
57198,NR
332172,
266116,
53012,
