genre,movie_id
 Comedy,9906
 Family,9906
Animation,218836
 Comedy,218836
 Adventure,218836
 Family,218836
Animation,980804
 Family,980804
 Science Fiction,980804
 Comedy,980804
Animation,813258
 Comedy,813258
 Fantasy,813258
Family,811367
 Comedy,811367
 Fantasy,811367
 Animation,811367
Animation,778819
 Comedy,778819
 Action,778819
 Family,778819
Animation,774741
 Comedy,774741
 Family,774741
Animation,476719
 Comedy,476719
 Horror,476719
Animation,609271
 Comedy,609271
 Family,609271
 Romance,609271
Animation,79082
 Adventure,79082
Animation,366142
 Family,366142
Animation,492719
 Science Fiction,492719
Comedy,355066
 Animation,355066
 Action,355066
Animation,164372
 Fantasy,164372
 Family,164372
Animation,460790
 Action,460790
 Science Fiction,460790
Adventure,1273
 Animation,1273
 Comedy,1273
 Family,1273
Animation,1001865
 Family,1001865
 Fantasy,1001865
Family,459159
 Fantasy,459159
 Animation,459159
 Comedy,459159
Animation,592983
 Fantasy,592983
 Family,592983
 Adventure,592983
 Comedy,592983
Family,286558
 Adventure,286558
 Animation,286558
 Comedy,286558
Family,13924
 Animation,13924
 Comedy,13924
Animation,520946
 Family,520946
 Fantasy,520946
 Adventure,520946
Animation,536115
 Science Fiction,536115
 Action,536115
 Adventure,536115
Action,382512
 Adventure,382512
 Animation,382512
 Comedy,382512
 Family,382512
Animation,375107
 Family,375107
 Adventure,375107
 Comedy,375107
Family,137116
 Comedy,137116
 Adventure,137116
 Animation,137116
Animation,264419
 Adventure,264419
 Comedy,264419
 Family,264419
Fantasy,292014
 Family,292014
 Animation,292014
 Adventure,292014
Animation,396330
 Family,396330
 Adventure,396330
 Action,396330
 Comedy,396330
Animation,9982
 Family,9982
 Comedy,9982
Animation,778810
 Adventure,778810
 Family,778810
 Comedy,778810
Family,748783
 Comedy,748783
 Adventure,748783
 Animation,748783
Animation,26840
 Comedy,26840
 Music,26840
 Family,26840
 Romance,26840
Animation,553903
 Comedy,553903
 Family,553903
 Crime,553903
Animation,385103
 Comedy,385103
 Family,385103
 Mystery,385103
Animation,570480
 Adventure,570480
 Family,570480
 Comedy,570480
 Music,570480
Animation,466876
 Family,466876
 Adventure,466876
 Comedy,466876
 Fantasy,466876
Comedy,403052
 Animation,403052
 Family,403052
Fantasy,79379
 Animation,79379
 Action,79379
 Comedy,79379
 Family,79379
Animation,304023
 Science Fiction,304023
 Action,304023
 Adventure,304023
Adventure,13690
 Animation,13690
