movie_index,production_company,movie_id
192,RTS,22501
192,Télécip,22501
193,Madhouse,51859
193,THE KLOCKWORX,51859
193,Shonen Gahosha,51859
193,FlyingDog,51859
194,Toei Animation,176983
194,Yasahi-Mation Productions,176983
194,Toei Company,176983
194,Fuji Television Network,176983
194,Shueisha,176983
194,Bandai,176983
195,Beyond C.,144288
195,Warner Bros. Pictures,144288
195,STUDIO4℃,144288
196,Nepenthe Productions,11837
196,Watership Productions,11837
197,Pierrot,347201
197,Aniplex,347201
197,Bandai Namco Entertainment,347201
197,Bandai,347201
197,dentsu,347201
197,Shueisha,347201
197,TV Tokyo,347201
197,TOHO,347201
198,Studio Ghibli,83389
198,Mitsubishi,83389
198,Kodansha,83389
198,KDDI,83389
198,Hakuhodo DY Media Partners,83389
199,CoMix Wave Films,198375
200,Studio Ghibli,15370
200,Hakuhodo DY Media Partners,15370
200,Mitsubishi,15370
200,Nippon Television Network Corporation,15370
200,TOHO,15370
200,Tokuma Shoten,15370
201,Walt Disney Animation Studios,51162
202,CoMix Wave Films,38142
203,Warner Bros. Animation,242643
203,DC,242643
204,CLAP,916192
204,Pony Canyon,916192
204,Shogakukan,916192
204,Sotsu,916192
204,STUDIO MAUSU,916192
204,Kansai Television,916192
205,STUDIO PONOC,913001
205,TOHO,913001
205,Nippon Television Network Corporation,913001
205,The Walt Disney Company (Japan),913001
205,KADOKAWA,913001
205,Lawson,913001
205,Poplar,913001
206,Warner Bros. Animation,870360
207,BONES,768744
207,TOHO,768744
207,Yomiuri Telecasting Corporation,768744
207,Shueisha,768744
207,Nippon Television Network Corporation,768744
207,dentsu,768744
207,Sony Music Entertainment (Japan),768744
207,movic,768744
208,Bitter Films,32536
209,Cinema Center Films,15242
209,Lee Mendelson Film Productions,15242
209,Bill Melendez Productions,15242
209,Charles M. Schulz Creative Associates,15242
209,United Feature Syndicate,15242
209,National General Pictures,15242
210,TOHO,20677
210,Kyokuichi-Tokyo Movie,20677
211,United Feature Syndicate,13479
211,Bill Melendez Productions,13479
211,Lee Mendelson Film Productions,13479
212,Studio Colorido,508422
212,KADOKAWA,508422
212,TOHO,508422
212,dentsu,508422
