,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
95,76589,96,0,Justice League: Doom,released,us,tt2027128,77.0,4674.0,en,movie,2012-02-28,2012.0,en,tt2027128,76589,4674.0,2an
96,149870,97,0,The Wind Rises,released,jp,tt2013293,126.0,4111.0,ja,movie,2013-07-20,2013.0,ja,tt2013293,149870,4111.0,1u9
97,37135,98,0,Tarzan,Released,us,tt0120855,88.0,978.0,en,movie,1999-06-17,1999.0,en,tt0120855,37135,978.0,t7
98,1357633,99,0,Solo Leveling -ReAwakening-,released,jp,tt33428606,116.0,362080.0,ja,movie,2024-11-26,2024.0,ja,tt33428606,1357633,362080.0,3mf78
99,1062807,100,0,SPY x FAMILY CODE: White,Released,jp,tt26684398,110.0,345271.0,ja,movie,2023-12-22,2023.0,ja,tt26684398,1062807,345271.0,2yjlb
100,732203,101,0,Gintama: The Very Final,Released,jp,tt10766468,104.0,143303.0,ja,movie,2021-01-08,2021.0,ja,tt10766468,732203,143303.0,kbkv
101,586940,102,0,I Lost My Body,released,fr,tt9806192,81.0,131244.0,fr,movie,2019-11-06,2019.0,fr,tt9806192,586940,131244.0,1dac
102,553600,103,0,Promare,Released,jp,tt9116358,111.0,101817.0,ja,movie,2019-05-24,2019.0,ja,tt9116358,553600,101817.0,1ax5
103,505262,104,0,My Hero Academia: Two Heroes,released,jp,tt7745068,96.0,848.0,ja,movie,2018-08-03,2018.0,ja,tt7745068,505262,848.0,1av9
104,18874,105,0,Ghost in the Shell: Stand Alone Complex - Solid State Society,Released,jp,tt0856797,105.0,9344.0,ja,movie,2007-09-01,2007.0,ja,tt0856797,18874,9344.0,5l2
105,340357,106,0,April and the Extraordinary World,Released,fr,tt3422078,106.0,9877.0,fr,movie,2015-11-04,2015.0,fr,tt3422078,340357,9877.0,53e
106,16306,107,0,Fantastic Planet,Released,fr,tt0070544,72.0,,fr,movie,1973-12-01,1973.0,fr,tt0070544,16306,,4ek
107,71689,108,0,Phineas and Ferb The Movie: Across the 2nd Dimension,Released,us,tt1825918,78.0,6701.0,en,movie,2011-08-05,2011.0,en,tt1825918,71689,6701.0,4ac
108,13151,109,0,Scooby-Doo on Zombie Island,Released,us,tt0166792,77.0,,en,movie,1998-09-22,1998.0,en,tt0166792,13151,,43n
109,11049,110,0,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,released,fr,tt0368667,68.0,3862.0,en,movie,2003-05-28,2003.0,xx,tt0368667,11049,3862.0,43m
110,92321,111,0,Hotarubi no Mori e,Released,jp,tt2061702,45.0,131304.0,ja,movie,2011-09-17,2011.0,ja,tt2061702,92321,131304.0,40k
111,26963,112,0,The Secret of Kells,released,ie,tt0485601,79.0,7629.0,en,movie,2009-02-09,2009.0,en,tt0485601,26963,7629.0,3l5
112,11704,113,0,The Secret of NIMH,Released,us,tt0084649,83.0,5081.0,en,movie,1982-06-17,1982.0,en,tt0084649,11704,5081.0,3jh
113,242828,114,0,When Marnie Was There,released,jp,tt3398268,103.0,2588.0,ja,movie,2014-07-19,2014.0,ja,tt3398268,242828,2588.0,2kj
